"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"324",134.539993,136.910004,134.520004,136.850006,189268900,108.492805
"325",136.020004,137.25,135.660004,137.050003,179665700,108.651344
"326",138.940002,139.559998,138.259995,138.479996,218530600,109.785042
"327",138.229996,138.979996,137.850006,138.550003,118587400,109.840523
"328",138.190002,138.309998,136.899994,137.940002,162166000,109.356949
"329",138.089996,138.779999,137.119995,137.720001,193309000,109.182518
"330",138.080002,139.740005,137.039993,138.320007,229381300,109.658173
"331",139.399994,139.889999,137.910004,139.600006,190788100,110.672974
"332",139.880005,140.25,139.380005,139.630005,105610200,110.696785
"333",139.389999,139.729996,138.610001,139.080002,125514100,110.26075
"334",139.289993,140.589996,138.259995,138.259995,208395900,109.610603
"335",138.380005,141.119995,138.270004,141.119995,187279500,111.878006
"336",142.339996,142.369995,140.559998,141.509995,181585500,112.187141
"337",141.050003,141.610001,140.410004,140.830002,118504500,111.648056
"338",140.020004,142.199997,139.690002,142.050003,179339800,112.615311
"339",141.889999,142.039993,139.130005,139.520004,199267300,110.609528
"340",139.740005,140.320007,138.979996,139.160004,178321200,110.324142
"341",138.600006,139.389999,138.449997,138.899994,152588200,110.118034
"342",139.25,140.559998,138.729996,140.460007,147865900,111.354736
"343",140.800003,140.889999,139.729996,140.479996,159132200,111.370621
"344",141.070007,142.199997,140.460007,140.770004,181910800,111.60051
"345",141.039993,142.630005,140.830002,142.529999,166927000,112.99585
"346",142.860001,142.869995,141.610001,142.660004,204236800,113.098923
"347",142.809998,144.300003,142.300003,143.050003,165664400,113.408058
"348",142.270004,142.339996,141,141.889999,178552100,112.488449
"349",141.809998,142.119995,139,139.490005,252724800,110.585739
"350",139.429993,140.169998,139,139.509995,170820400,110.601624
"351",139.050003,139.660004,137.520004,137.639999,181376400,109.119087
"352",137.800003,139,137.529999,138.660004,168322900,109.927711
"353",139.169998,140,138,139.300003,181288100,110.435097
"354",139.130005,140.929993,139.080002,140,173927200,110.990059
"355",140.470001,140.740005,139.940002,140.350006,117362000,111.267525
"356",139.830002,139.860001,138,138.899994,181069900,110.118034
"357",139.300003,139.619995,137.229996,138.089996,271965700,109.475853
"358",137.699997,139.160004,137.460007,138.020004,246637700,109.42038
